City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Paka,MY,4.6374,103.4368,82.33,78,40,6.91,scattered clouds
80,Airai,TL,-8.9266,125.4092,74.98,61,100,2.68,overcast clouds
81,Khatanga,RU,71.9667,102.5,-19.52,97,98,5.95,overcast clouds
82,Powell,US,40.1578,-83.0752,29.28,86,100,11.5,snow
83,Dingle,PH,10.9995,122.6711,87.39,66,92,6.02,overcast clouds
84,Qaanaaq,GL,77.484,-69.3632,-14.82,81,19,6.04,few clouds
85,Iqaluit,CA,63.7506,-68.5145,-24.07,76,20,4.61,few clouds
86,Lahaina,US,20.8783,-156.6825,79.84,76,21,10.29,few clouds
87,Kapaa,US,22.0752,-159.319,79.12,68,20,10.36,few clouds
88,New Plymouth,NZ,-39.0667,174.0833,65.32,89,100,7.56,overcast clouds
89,Ahipara,NZ,-35.1667,173.1667,71.62,66,99,6.89,overcast clouds
90,Kongolo,CD,-5.3833,27.0,68.81,97,100,0.47,overcast clouds
91,Rodrigues Alves,BR,-7.738,-72.6509,73.02,96,79,2.17,broken clouds
92,Pacasmayo,PE,-7.4006,-79.5714,73.58,77,41,7.34,scattered clouds
93,Avarua,CK,-21.2078,-159.775,82.45,78,84,5.75,broken clouds
94,Flin Flon,CA,54.7682,-101.865,-2.27,97,100,3.47,overcast clouds
95,Sanchor,IN,24.7553,71.7722,79.84,18,0,4.09,clear sky
96,Castro,BR,-24.7911,-50.0119,64.15,97,100,2.68,overcast clouds
97,Mumford,GH,5.2618,-0.759,80.01,88,75,7.27,broken clouds
98,Sola,VU,-13.8833,167.55,82.69,71,100,6.8,overcast clouds
99,Bandarbeyla,SO,9.4942,50.8122,76.93,68,87,9.95,overcast clouds
100,Kassala,SD,15.451,36.4,68.58,77,62,11.16,broken clouds
101,Tuatapere,NZ,-46.1333,167.6833,61.65,67,57,11.54,broken clouds
102,Nikolskoye,RU,59.7035,30.7861,31.87,97,100,4.32,overcast clouds
103,Fairbanks,US,64.8378,-147.7164,21.2,34,0,9.22,clear sky
104,Saint George,US,37.1041,-113.5841,54.25,16,0,1.99,clear sky
105,Mount Isa,AU,-20.7333,139.5,100.17,17,6,10.36,clear sky
106,Lensk,RU,60.7253,114.9278,4.68,82,99,6.82,overcast clouds
107,Kruisfontein,ZA,-34.0033,24.7314,70.48,80,100,4.94,overcast clouds
108,Mar Del Plata,AR,-38.0023,-57.5575,60.87,71,75,5.99,light rain
